Workload,MACs,ILP_Input,ILP_Weight,ILP_Output,ILP_Total,Trace_Input,Trace_Weight,Trace_Output,Trace_Total,Error%
tiny,9216,1.0,1.0,1.0,3.0,1,0,0,3,0.00
small,147456,16.0,3.0,1.0,20.0,2,0,0,21,4.76
medium,1806336,504.0,9.0,7.0,520.0,56,0,0,560,7.14
