Workload,MACs,ILP_Input,ILP_Weight,ILP_Output,ILP_Total,Trace_Input,Trace_Weight,Trace_Output,Trace_Total,Error%
tiny,9216,1.0,1.0,1.0,3.0,1,0,0,3,0.00
small,147456,16.0,3.0,1.0,20.0,2,0,0,21,4.76
medium,1806336,504.0,9.0,7.0,520.0,56,0,0,560,7.14
ResNet-L1,3687936,1372.0,5.0,356.0,1733.0,161,0,0,559,210.02
ResNet-L2,3612672,448.0,18.0,13.0,479.0,336,0,0,560,14.46
ResNet-L3,3612672,896.0,72.0,7.0,975.0,441,0,0,952,2.42
VGG-L1,2709504,633.0,1.0,276.0,910.0,138,0,0,515,76.70
VGG-L2,14450688,1792.0,18.0,49.0,1859.0,1176,0,0,3780,50.82
VGG-L3,14450688,112.0,72.0,25.0,209.0,1764,0,0,2968,92.96
MobileNet-L1,401408,98.0,1.0,49.0,148.0,13,0,0,87,70.11
MobileNet-L2,401408,112.0,2.0,91.0,205.0,25,0,0,130,57.69
MobileNet-L3,401408,7.0,8.0,7.0,22.0,49,0,0,112,80.36
Batch-N1,3612672,448.0,18.0,13.0,479.0,336,0,0,560,14.46
Batch-N2,7225344,2688.0,18.0,56.0,2762.0,588,0,0,1890,46.14
Batch-N4,14450688,1792.0,18.0,49.0,1859.0,1176,0,0,3724,50.08
