Workload,Weight_Corr,Output_Corr,Num_Sols
VGG_Conv1_1,1.0,0.0,20
VGG_Conv2_1,0.6843387751900737,0.7036658518558089,20
VGG_Conv3_1,0.9460998335825322,0.7604781365678559,20
VGG_Conv4_1,1.0,0.7864042787088228,20
VGG_Conv5_1,1.0,1.0,20
ResNet_L1,0.6524641874154982,1.0,20
ResNet_Stride2,0.0,1.0,20
ResNet_1x1_Proj,1.0,0.0,20
ResNet_1x1_Red,1.0,1.0,20
YOLO_Tiny,1.0,1.0,20
