Workload,SolutionID,Tensor,ILP_Value,Trace_Value
VGG_Conv4_1,8,max,72.0,72
VGG_Conv4_1,9,input,15.999999999999787,16
VGG_Conv4_1,9,weight,72.0,72
VGG_Conv4_1,9,output,32.0,32
VGG_Conv4_1,9,max,72.0,72
VGG_Conv4_1,10,input,15.999999999996136,16
VGG_Conv4_1,10,weight,71.99999999999933,72
VGG_Conv4_1,10,output,32.0,32
VGG_Conv4_1,10,max,71.99999999999933,72
VGG_Conv4_1,11,input,64.00000000001192,512
VGG_Conv4_1,11,weight,72.0,72
VGG_Conv4_1,11,output,8.0,8
VGG_Conv4_1,11,max,72.0,512
VGG_Conv4_1,12,input,15.999999999999773,16
VGG_Conv4_1,12,weight,71.99999999999933,72
VGG_Conv4_1,12,output,32.0,32
VGG_Conv4_1,12,max,71.99999999999933,72
VGG_Conv4_1,13,input,15.99999999999999,16
VGG_Conv4_1,13,weight,71.99999999999949,72
VGG_Conv4_1,13,output,31.999999982314026,32
VGG_Conv4_1,13,max,71.99999999999949,72
VGG_Conv4_1,14,input,15.99999999999999,16
VGG_Conv4_1,14,weight,71.99999999999933,72
VGG_Conv4_1,14,output,31.999999982314026,32
VGG_Conv4_1,14,max,71.99999999999933,72
VGG_Conv4_1,15,input,15.99999999999999,16
VGG_Conv4_1,15,weight,71.99999999999949,72
VGG_Conv4_1,15,output,31.999999982314026,32
VGG_Conv4_1,15,max,71.99999999999949,72
VGG_Conv4_1,16,input,15.99999999999999,16
VGG_Conv4_1,16,weight,71.99999999999949,72
VGG_Conv4_1,16,output,31.999999982314026,32
VGG_Conv4_1,16,max,71.99999999999949,72
VGG_Conv4_1,17,input,15.99999999999999,16
VGG_Conv4_1,17,weight,71.99999999999949,72
VGG_Conv4_1,17,output,31.999999982314026,32
VGG_Conv4_1,17,max,71.99999999999949,72
VGG_Conv4_1,18,input,15.99999999999999,16
VGG_Conv4_1,18,weight,71.99999999999949,72
VGG_Conv4_1,18,output,31.999999982314026,32
VGG_Conv4_1,18,max,71.99999999999949,72
VGG_Conv4_1,19,input,15.99999999999999,16
VGG_Conv4_1,19,weight,71.99999999999949,72
VGG_Conv4_1,19,output,31.999999982314026,32
VGG_Conv4_1,19,max,71.99999999999949,72
VGG_Conv5_1,0,input,15.999999999999995,16
VGG_Conv5_1,0,weight,143.999999999779,144
VGG_Conv5_1,0,output,1.0,1
VGG_Conv5_1,0,max,143.999999999779,144
VGG_Conv5_1,1,input,15.999999999999995,16
VGG_Conv5_1,1,weight,143.999999999779,144
VGG_Conv5_1,1,output,1.0,1
VGG_Conv5_1,1,max,143.999999999779,144
VGG_Conv5_1,2,input,15.999999999999995,16
VGG_Conv5_1,2,weight,143.999999999779,144
VGG_Conv5_1,2,output,1.0,1
VGG_Conv5_1,2,max,143.999999999779,144
VGG_Conv5_1,3,input,15.999999999999995,16
VGG_Conv5_1,3,weight,143.999999999779,144
VGG_Conv5_1,3,output,1.0,1
VGG_Conv5_1,3,max,143.999999999779,144
